,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,396.0,220.0,217.0,206.0,273.0,313.0,267.0,273.0,197.0,217.0,217.35,258.1582,334.0
1,1,334.0,396.0,220.0,217.0,206.0,273.0,313.0,267.0,273.0,197.0,217.0,217.35,228.0
2,2,228.0,334.0,396.0,220.0,217.0,206.0,273.0,313.0,267.0,273.0,197.0,217.0,214.0
3,3,214.0,228.0,334.0,396.0,220.0,217.0,206.0,273.0,313.0,267.0,273.0,197.0,249.0
4,4,249.0,214.0,228.0,334.0,396.0,220.0,217.0,206.0,273.0,313.0,267.0,273.0,227.0
5,5,227.0,249.0,214.0,228.0,334.0,396.0,220.0,217.0,206.0,273.0,313.0,267.0,265.0
6,6,265.0,227.0,249.0,214.0,228.0,334.0,396.0,220.0,217.0,206.0,273.0,313.0,306.0
7,7,306.0,265.0,227.0,249.0,214.0,228.0,334.0,396.0,220.0,217.0,206.0,273.0,266.0
8,8,266.0,306.0,265.0,227.0,249.0,214.0,228.0,334.0,396.0,220.0,217.0,206.0,210.0
9,9,210.0,266.0,306.0,265.0,227.0,249.0,214.0,228.0,334.0,396.0,220.0,217.0,295.0
10,10,295.0,210.0,266.0,306.0,265.0,227.0,249.0,214.0,228.0,334.0,396.0,220.0,276.0
11,11,276.0,295.0,210.0,266.0,306.0,265.0,227.0,249.0,214.0,228.0,334.0,396.0,268.0
12,12,268.0,276.0,295.0,210.0,266.0,306.0,265.0,227.0,249.0,214.0,228.0,334.0,285.0
13,13,285.0,268.0,276.0,295.0,210.0,266.0,306.0,265.0,227.0,249.0,214.0,228.0,275.0
14,14,275.0,285.0,268.0,276.0,295.0,210.0,266.0,306.0,265.0,227.0,249.0,214.0,265.0
15,15,265.0,275.0,285.0,268.0,276.0,295.0,210.0,266.0,306.0,265.0,227.0,249.0,225.0
16,16,225.0,265.0,275.0,285.0,268.0,276.0,295.0,210.0,266.0,306.0,265.0,227.0,348.0
17,17,348.0,225.0,265.0,275.0,285.0,268.0,276.0,295.0,210.0,266.0,306.0,265.0,445.0
18,18,445.0,348.0,225.0,265.0,275.0,285.0,268.0,276.0,295.0,210.0,266.0,306.0,368.0
19,19,368.0,445.0,348.0,225.0,265.0,275.0,285.0,268.0,276.0,295.0,210.0,266.0,280.0
20,20,280.0,368.0,445.0,348.0,225.0,265.0,275.0,285.0,268.0,276.0,295.0,210.0,219.0
21,21,219.0,280.0,368.0,445.0,348.0,225.0,265.0,275.0,285.0,268.0,276.0,295.0,240.0
22,22,240.0,219.0,280.0,368.0,445.0,348.0,225.0,265.0,275.0,285.0,268.0,276.0,224.0
23,23,224.0,240.0,219.0,280.0,368.0,445.0,348.0,225.0,265.0,275.0,285.0,268.0,234.0
24,24,234.0,224.0,240.0,219.0,280.0,368.0,445.0,348.0,225.0,265.0,275.0,285.0,216.0
25,25,216.0,234.0,224.0,240.0,219.0,280.0,368.0,445.0,348.0,225.0,265.0,275.0,205.0
26,26,205.0,216.0,234.0,224.0,240.0,219.0,280.0,368.0,445.0,348.0,225.0,265.0,230.0
27,27,230.0,205.0,216.0,234.0,224.0,240.0,219.0,280.0,368.0,445.0,348.0,225.0,235.0
28,28,235.0,230.0,205.0,216.0,234.0,224.0,240.0,219.0,280.0,368.0,445.0,348.0,280.0
29,29,280.0,235.0,230.0,205.0,216.0,234.0,224.0,240.0,219.0,280.0,368.0,445.0,336.0
30,30,336.0,280.0,235.0,230.0,205.0,216.0,234.0,224.0,240.0,219.0,280.0,368.0,319.0
31,31,319.0,336.0,280.0,235.0,230.0,205.0,216.0,234.0,224.0,240.0,219.0,280.0,201.0
32,32,201.0,319.0,336.0,280.0,235.0,230.0,205.0,216.0,234.0,224.0,240.0,219.0,118.0
33,33,118.0,201.0,319.0,336.0,280.0,235.0,230.0,205.0,216.0,234.0,224.0,240.0,76.0
34,34,76.0,118.0,201.0,319.0,336.0,280.0,235.0,230.0,205.0,216.0,234.0,224.0,75.0
35,35,75.0,76.0,118.0,201.0,319.0,336.0,280.0,235.0,230.0,205.0,216.0,234.0,259.0
36,36,259.0,75.0,76.0,118.0,201.0,319.0,336.0,280.0,235.0,230.0,205.0,216.0,234.0
37,37,234.0,259.0,75.0,76.0,118.0,201.0,319.0,336.0,280.0,235.0,230.0,205.0,195.0
38,38,195.0,234.0,259.0,75.0,76.0,118.0,201.0,319.0,336.0,280.0,235.0,230.0,208.0
39,39,208.0,195.0,234.0,259.0,75.0,76.0,118.0,201.0,319.0,336.0,280.0,235.0,192.0
40,40,192.0,208.0,195.0,234.0,259.0,75.0,76.0,118.0,201.0,319.0,336.0,280.0,191.0
41,41,191.0,192.0,208.0,195.0,234.0,259.0,75.0,76.0,118.0,201.0,319.0,336.0,191.0
