      MAE    RMSE
80: 0.016855220351105968  0.021770341560797945
81: 0.03434943684285137  0.04099100057296809
82: 0.02790100922368094  0.03462918923157889
83: 0.04072148155300795  0.04971165628110925
84: 0.07729408580111365  0.1063665363220571
86: 0.020348669230597374  0.022493774706510095
87: 0.01017329016140528  0.011760179471832105
88: 0.0648405516267958  0.12658155021713904
89: 0.01107449103139696  0.015837067295088502
9: 0.05224356567865959  0.08068673335288859
90: 0.010716025836581275  0.013346261025435777
91: 0.11087913606863209  0.1631006696979873
92: 0.018782673267326733  0.02014128871157398
93: 0.08622788125595245  0.11914413796623223
94: 0.03658325858910878  0.04032214105307875
95: 0.08688246175302532  0.11502986592963393
96: 0.04308286416224718  0.048400598215058856
97: 0.046635973597359735  0.09513729371420314
98: 0.15346526977291988  0.21571977292546604
99: 0.10098180935131047  0.10987857925172552
AVG: 0.08693798132957029  0.1035878875862023
