,0,1,2,3,4,5,6,7,8,9,10,11,12
0,513.0,417.0,546.5434700000001,513.4565299999999,509.0,430.0,365.0,374.0,367.0,436.62712,394.37288,562.88889,458.0
1,458.0,513.0,417.0,546.5434700000001,513.4565299999999,509.0,430.0,365.0,374.0,367.0,436.62712,394.37288,273.0
2,273.0,458.0,513.0,417.0,546.5434700000001,513.4565299999999,509.0,430.0,365.0,374.0,367.0,436.62712,196.0
3,196.0,273.0,458.0,513.0,417.0,546.5434700000001,513.4565299999999,509.0,430.0,365.0,374.0,367.0,183.0
4,183.0,196.0,273.0,458.0,513.0,417.0,546.5434700000001,513.4565299999999,509.0,430.0,365.0,374.0,196.0
5,196.0,183.0,196.0,273.0,458.0,513.0,417.0,546.5434700000001,513.4565299999999,509.0,430.0,365.0,196.0
6,196.0,196.0,183.0,196.0,273.0,458.0,513.0,417.0,546.5434700000001,513.4565299999999,509.0,430.0,272.0
7,272.0,196.0,196.0,183.0,196.0,273.0,458.0,513.0,417.0,546.5434700000001,513.4565299999999,509.0,298.0
8,298.0,272.0,196.0,196.0,183.0,196.0,273.0,458.0,513.0,417.0,546.5434700000001,513.4565299999999,237.32758
9,237.32758,298.0,272.0,196.0,196.0,183.0,196.0,273.0,458.0,513.0,417.0,546.5434700000001,250.67242
10,250.67242,237.32758,298.0,272.0,196.0,196.0,183.0,196.0,273.0,458.0,513.0,417.0,199.0
11,199.0,250.67242,237.32758,298.0,272.0,196.0,196.0,183.0,196.0,273.0,458.0,513.0,251.0
12,251.0,199.0,250.67242,237.32758,298.0,272.0,196.0,196.0,183.0,196.0,273.0,458.0,208.0
13,208.0,251.0,199.0,250.67242,237.32758,298.0,272.0,196.0,196.0,183.0,196.0,273.0,173.0
14,173.0,208.0,251.0,199.0,250.67242,237.32758,298.0,272.0,196.0,196.0,183.0,196.0,206.0
15,206.0,173.0,208.0,251.0,199.0,250.67242,237.32758,298.0,272.0,196.0,196.0,183.0,209.0
16,209.0,206.0,173.0,208.0,251.0,199.0,250.67242,237.32758,298.0,272.0,196.0,196.0,218.0
17,218.0,209.0,206.0,173.0,208.0,251.0,199.0,250.67242,237.32758,298.0,272.0,196.0,209.0
18,209.0,218.0,209.0,206.0,173.0,208.0,251.0,199.0,250.67242,237.32758,298.0,272.0,218.0
19,218.0,209.0,218.0,209.0,206.0,173.0,208.0,251.0,199.0,250.67242,237.32758,298.0,217.0
20,217.0,218.0,209.0,218.0,209.0,206.0,173.0,208.0,251.0,199.0,250.67242,237.32758,210.0
21,210.0,217.0,218.0,209.0,218.0,209.0,206.0,173.0,208.0,251.0,199.0,250.67242,217.0
22,217.0,210.0,217.0,218.0,209.0,218.0,209.0,206.0,173.0,208.0,251.0,199.0,210.0
23,210.0,217.0,210.0,217.0,218.0,209.0,218.0,209.0,206.0,173.0,208.0,251.0,229.0
24,229.0,210.0,217.0,210.0,217.0,218.0,209.0,218.0,209.0,206.0,173.0,208.0,166.0
25,166.0,229.0,210.0,217.0,210.0,217.0,218.0,209.0,218.0,209.0,206.0,173.0,124.0
26,124.0,166.0,229.0,210.0,217.0,210.0,217.0,218.0,209.0,218.0,209.0,206.0,133.0
27,133.0,124.0,166.0,229.0,210.0,217.0,210.0,217.0,218.0,209.0,218.0,209.0,133.0
28,133.0,133.0,124.0,166.0,229.0,210.0,217.0,210.0,217.0,218.0,209.0,218.0,158.0
29,158.0,133.0,133.0,124.0,166.0,229.0,210.0,217.0,210.0,217.0,218.0,209.0,158.0
30,158.0,158.0,133.0,133.0,124.0,166.0,229.0,210.0,217.0,210.0,217.0,218.0,205.0
31,205.0,158.0,158.0,133.0,133.0,124.0,166.0,229.0,210.0,217.0,210.0,217.0,241.0
32,241.0,205.0,158.0,158.0,133.0,133.0,124.0,166.0,229.0,210.0,217.0,210.0,214.0
33,214.0,241.0,205.0,158.0,158.0,133.0,133.0,124.0,166.0,229.0,210.0,217.0,207.0
34,207.0,214.0,241.0,205.0,158.0,158.0,133.0,133.0,124.0,166.0,229.0,210.0,184.0
35,184.0,207.0,214.0,241.0,205.0,158.0,158.0,133.0,133.0,124.0,166.0,229.0,242.0
36,242.0,184.0,207.0,214.0,241.0,205.0,158.0,158.0,133.0,133.0,124.0,166.0,155.0
37,155.0,242.0,184.0,207.0,214.0,241.0,205.0,158.0,158.0,133.0,133.0,124.0,131.0
38,131.0,155.0,242.0,184.0,207.0,214.0,241.0,205.0,158.0,158.0,133.0,133.0,127.0
39,127.0,131.0,155.0,242.0,184.0,207.0,214.0,241.0,205.0,158.0,158.0,133.0,113.0
40,113.0,127.0,131.0,155.0,242.0,184.0,207.0,214.0,241.0,205.0,158.0,158.0,153.0
41,153.0,113.0,127.0,131.0,155.0,242.0,184.0,207.0,214.0,241.0,205.0,158.0,174.0
42,174.0,153.0,113.0,127.0,131.0,155.0,242.0,184.0,207.0,214.0,241.0,205.0,236.0
43,236.0,174.0,153.0,113.0,127.0,131.0,155.0,242.0,184.0,207.0,214.0,241.0,273.0
44,273.0,236.0,174.0,153.0,113.0,127.0,131.0,155.0,242.0,184.0,207.0,214.0,218.0
45,218.0,273.0,236.0,174.0,153.0,113.0,127.0,131.0,155.0,242.0,184.0,207.0,206.0
46,206.0,218.0,273.0,236.0,174.0,153.0,113.0,127.0,131.0,155.0,242.0,184.0,180.0
47,180.0,206.0,218.0,273.0,236.0,174.0,153.0,113.0,127.0,131.0,155.0,242.0,214.0
48,214.0,180.0,206.0,218.0,273.0,236.0,174.0,153.0,113.0,127.0,131.0,155.0,169.0
49,169.0,214.0,180.0,206.0,218.0,273.0,236.0,174.0,153.0,113.0,127.0,131.0,142.0
50,142.0,169.0,214.0,180.0,206.0,218.0,273.0,236.0,174.0,153.0,113.0,127.0,153.0
51,153.0,142.0,169.0,214.0,180.0,206.0,218.0,273.0,236.0,174.0,153.0,113.0,145.0
