,0m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,0,1,2,3,4,5,6,7,8,9,10,11,12
0,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,92.0,42.0,47.0,48.0,50.0,33.0,31.0,30.0,23.0,39.0,56.0,18.0,77.0
1,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,77.0,92.0,42.0,47.0,48.0,50.0,33.0,31.0,30.0,23.0,39.0,56.0,83.0
2,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,83.0,77.0,92.0,42.0,47.0,48.0,50.0,33.0,31.0,30.0,23.0,39.0,68.0
3,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,68.0,83.0,77.0,92.0,42.0,47.0,48.0,50.0,33.0,31.0,30.0,23.0,59.0
4,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,59.0,68.0,83.0,77.0,92.0,42.0,47.0,48.0,50.0,33.0,31.0,30.0,59.0
5,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,59.0,59.0,68.0,83.0,77.0,92.0,42.0,47.0,48.0,50.0,33.0,31.0,57.0
6,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,57.0,59.0,59.0,68.0,83.0,77.0,92.0,42.0,47.0,48.0,50.0,33.0,85.0
7,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,85.0,57.0,59.0,59.0,68.0,83.0,77.0,92.0,42.0,47.0,48.0,50.0,88.0
8,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,88.0,85.0,57.0,59.0,59.0,68.0,83.0,77.0,92.0,42.0,47.0,48.0,89.0
9,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,89.0,88.0,85.0,57.0,59.0,59.0,68.0,83.0,77.0,92.0,42.0,47.0,81.0
10,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,81.0,89.0,88.0,85.0,57.0,59.0,59.0,68.0,83.0,77.0,92.0,42.0,74.0
11,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,74.0,81.0,89.0,88.0,85.0,57.0,59.0,59.0,68.0,83.0,77.0,92.0,66.0
12,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,66.0,74.0,81.0,89.0,88.0,85.0,57.0,59.0,59.0,68.0,83.0,77.0,57.0
13,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,57.0,66.0,74.0,81.0,89.0,88.0,85.0,57.0,59.0,59.0,68.0,83.0,48.0
14,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,48.0,57.0,66.0,74.0,81.0,89.0,88.0,85.0,57.0,59.0,59.0,68.0,60.0
15,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,60.0,48.0,57.0,66.0,74.0,81.0,89.0,88.0,85.0,57.0,59.0,59.0,56.0
16,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,56.0,60.0,48.0,57.0,66.0,74.0,81.0,89.0,88.0,85.0,57.0,59.0,66.0
17,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,66.0,56.0,60.0,48.0,57.0,66.0,74.0,81.0,89.0,88.0,85.0,57.0,113.0
18,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,113.0,66.0,56.0,60.0,48.0,57.0,66.0,74.0,81.0,89.0,88.0,85.0,207.0
19,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,207.0,113.0,66.0,56.0,60.0,48.0,57.0,66.0,74.0,81.0,89.0,88.0,275.0
20,242.36917673177084,238.13545983072913,234.41515036458335,230.84259492187502,226.8098258203125,222.63589864583332,218.95649889322917,215.36261221354167,211.47878537760417,207.21041953124998,203.02405615885417,197.85026040364582,275.0,207.0,113.0,66.0,56.0,60.0,48.0,57.0,66.0,74.0,81.0,89.0,307.0
