,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
13,11.0,140.0,180.0,138.0,132.0,170.0,144.0,132.0,99.0,11.0,12.0,11.0,11.0,434.0,448.0,496.0,502.0,383.0,340.0,424.0,382.0,376.0,581.0,602.0,551.0,360.0,20.0,28.0,29.0,30.0,29.0,30.0,29.0,29.0,30.0,29.0,30.0,27.0,19.0,1050.0,1399.0,1186.0,1000.0,319.0,1068.0,1031.0,917.0,978.0,971.0,790.0,744.0,389.0
14,11.0,11.0,140.0,180.0,138.0,132.0,170.0,144.0,132.0,99.0,11.0,12.0,11.0,360.0,434.0,448.0,496.0,502.0,383.0,340.0,424.0,382.0,376.0,581.0,602.0,354.0,19.0,20.0,28.0,29.0,30.0,29.0,30.0,29.0,29.0,30.0,29.0,30.0,21.0,389.0,1050.0,1399.0,1186.0,1000.0,319.0,1068.0,1031.0,917.0,978.0,971.0,790.0,3.0
15,11.0,11.0,11.0,140.0,180.0,138.0,132.0,170.0,144.0,132.0,99.0,11.0,11.0,354.0,360.0,434.0,448.0,496.0,502.0,383.0,340.0,424.0,382.0,376.0,581.0,485.0,21.0,19.0,20.0,28.0,29.0,30.0,29.0,30.0,29.0,29.0,30.0,29.0,20.0,3.0,389.0,1050.0,1399.0,1186.0,1000.0,319.0,1068.0,1031.0,917.0,978.0,971.0,383.0
16,11.0,11.0,11.0,11.0,140.0,180.0,138.0,132.0,170.0,144.0,132.0,99.0,20.0,485.0,354.0,360.0,434.0,448.0,496.0,502.0,383.0,340.0,424.0,382.0,376.0,457.0,20.0,21.0,19.0,20.0,28.0,29.0,30.0,29.0,30.0,29.0,29.0,30.0,20.0,383.0,3.0,389.0,1050.0,1399.0,1186.0,1000.0,319.0,1068.0,1031.0,917.0,978.0,-219.0
17,20.0,11.0,11.0,11.0,11.0,140.0,180.0,138.0,132.0,170.0,144.0,132.0,152.0,457.0,485.0,354.0,360.0,434.0,448.0,496.0,502.0,383.0,340.0,424.0,382.0,471.0,20.0,20.0,21.0,19.0,20.0,28.0,29.0,30.0,29.0,30.0,29.0,29.0,34.0,-219.0,383.0,3.0,389.0,1050.0,1399.0,1186.0,1000.0,319.0,1068.0,1031.0,917.0,-148.0
18,152.0,20.0,11.0,11.0,11.0,11.0,140.0,180.0,138.0,132.0,170.0,144.0,220.0,471.0,457.0,485.0,354.0,360.0,434.0,448.0,496.0,502.0,383.0,340.0,424.0,464.0,34.0,20.0,20.0,21.0,19.0,20.0,28.0,29.0,30.0,29.0,30.0,29.0,63.0,-148.0,-219.0,383.0,3.0,389.0,1050.0,1399.0,1186.0,1000.0,319.0,1068.0,1031.0,141.0
19,220.0,152.0,20.0,11.0,11.0,11.0,11.0,140.0,180.0,138.0,132.0,170.0,166.0,464.0,471.0,457.0,485.0,354.0,360.0,434.0,448.0,496.0,502.0,383.0,340.0,440.0,63.0,34.0,20.0,20.0,21.0,19.0,20.0,28.0,29.0,30.0,29.0,30.0,64.0,141.0,-148.0,-219.0,383.0,3.0,389.0,1050.0,1399.0,1186.0,1000.0,319.0,1068.0,131.0
20,166.0,220.0,152.0,20.0,11.0,11.0,11.0,11.0,140.0,180.0,138.0,132.0,146.0,440.0,464.0,471.0,457.0,485.0,354.0,360.0,434.0,448.0,496.0,502.0,383.0,401.0,64.0,63.0,34.0,20.0,20.0,21.0,19.0,20.0,28.0,29.0,30.0,29.0,61.0,131.0,141.0,-148.0,-219.0,383.0,3.0,389.0,1050.0,1399.0,1186.0,1000.0,319.0,508.68
21,146.0,166.0,220.0,152.0,20.0,11.0,11.0,11.0,11.0,140.0,180.0,138.0,145.0,401.0,440.0,464.0,471.0,457.0,485.0,354.0,360.0,434.0,448.0,496.0,502.0,369.0,61.0,64.0,63.0,34.0,20.0,20.0,21.0,19.0,20.0,28.0,29.0,30.0,27.0,508.68,131.0,141.0,-148.0,-219.0,383.0,3.0,389.0,1050.0,1399.0,1186.0,1000.0,284.67656
22,145.0,146.0,166.0,220.0,152.0,20.0,11.0,11.0,11.0,11.0,140.0,180.0,159.0,369.0,401.0,440.0,464.0,471.0,457.0,485.0,354.0,360.0,434.0,448.0,496.0,476.0,27.0,61.0,64.0,63.0,34.0,20.0,20.0,21.0,19.0,20.0,28.0,29.0,21.0,284.67656,508.68,131.0,141.0,-148.0,-219.0,383.0,3.0,389.0,1050.0,1399.0,1186.0,403.788
