,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,9.0,7.0,9.0,8.0,7.0,9.0,7.0,12.0,9.0,7.0,7.0,8.0,6.0,15.0,77.0,117.0,13.0,13.0,13.0,63.0,14.0,13.0,14.18643,12.81357,13.83871,15.0,1.0,3.0,31.0,29.0,30.0,65.0,83.0,87.0,9.0,10.136,43.904,48.608,0.0,56.0,45.0,49.0,54.0,55.0,53.0,46.0,60.0,80.0,94.0,92.0,62.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.03278,27.0,42.0,52.0,86.0,116.0,110.0,76.0,53.0,43.0,44.0,30.0,28.96722,23.0,25.0,29.0,33.0,95.0,73.0,32.0,30.0,28.0,24.16949,21.83051,30.95556,22.0
1,6.0,9.0,7.0,9.0,8.0,7.0,9.0,7.0,12.0,9.0,7.0,7.0,7.0,15.0,15.0,77.0,117.0,13.0,13.0,13.0,63.0,14.0,13.0,14.18643,12.81357,13.0,0.0,1.0,3.0,31.0,29.0,30.0,65.0,83.0,87.0,9.0,10.136,43.904,11.57143,75.0,56.0,45.0,49.0,54.0,55.0,53.0,46.0,60.0,80.0,94.0,92.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.96722,28.03278,27.0,42.0,52.0,86.0,116.0,110.0,76.0,53.0,43.0,44.0,29.0,22.0,23.0,25.0,29.0,33.0,95.0,73.0,32.0,30.0,28.0,24.16949,21.83051,21.0
2,7.0,6.0,9.0,7.0,9.0,8.0,7.0,9.0,7.0,12.0,9.0,7.0,8.0,13.0,15.0,15.0,77.0,117.0,13.0,13.0,13.0,63.0,14.0,13.0,14.18643,15.0,11.57143,0.0,1.0,3.0,31.0,29.0,30.0,65.0,83.0,87.0,9.0,10.136,1.3952399999999998,44.0,75.0,56.0,45.0,49.0,54.0,55.0,53.0,46.0,60.0,80.0,94.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,28.96722,28.03278,27.0,42.0,52.0,86.0,116.0,110.0,76.0,53.0,43.0,42.0,21.0,22.0,23.0,25.0,29.0,33.0,95.0,73.0,32.0,30.0,28.0,24.16949,25.0
3,8.0,7.0,6.0,9.0,7.0,9.0,8.0,7.0,9.0,7.0,12.0,9.0,9.0,15.0,13.0,15.0,15.0,77.0,117.0,13.0,13.0,13.0,63.0,14.0,13.0,13.0,1.3952399999999998,11.57143,0.0,1.0,3.0,31.0,29.0,30.0,65.0,83.0,87.0,9.0,17.80752,55.0,44.0,75.0,56.0,45.0,49.0,54.0,55.0,53.0,46.0,60.0,80.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,29.0,28.96722,28.03278,27.0,42.0,52.0,86.0,116.0,110.0,76.0,53.0,58.0,25.0,21.0,22.0,23.0,25.0,29.0,33.0,95.0,73.0,32.0,30.0,28.0,29.0
4,9.0,8.0,7.0,6.0,9.0,7.0,9.0,8.0,7.0,9.0,7.0,12.0,9.0,13.0,15.0,13.0,15.0,15.0,77.0,117.0,13.0,13.0,13.0,63.0,14.0,14.0,17.80752,1.3952399999999998,11.57143,0.0,1.0,3.0,31.0,29.0,30.0,65.0,83.0,87.0,32.15913,61.0,55.0,44.0,75.0,56.0,45.0,49.0,54.0,55.0,53.0,46.0,60.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,42.0,29.0,28.96722,28.03278,27.0,42.0,52.0,86.0,116.0,110.0,76.0,75.0,29.0,25.0,21.0,22.0,23.0,25.0,29.0,33.0,95.0,73.0,32.0,30.0,42.77966
5,9.0,9.0,8.0,7.0,6.0,9.0,7.0,9.0,8.0,7.0,9.0,7.0,8.0,14.0,13.0,15.0,13.0,15.0,15.0,77.0,117.0,13.0,13.0,13.0,63.0,13.0,32.15913,17.80752,1.3952399999999998,11.57143,0.0,1.0,3.0,31.0,29.0,30.0,65.0,83.0,112.23334,65.0,61.0,55.0,44.0,75.0,56.0,45.0,49.0,54.0,55.0,53.0,46.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,58.0,42.0,29.0,28.96722,28.03278,27.0,42.0,52.0,86.0,116.0,110.0,136.0,42.77966,29.0,25.0,21.0,22.0,23.0,25.0,29.0,33.0,95.0,73.0,32.0,43.22034
6,8.0,9.0,9.0,8.0,7.0,6.0,9.0,7.0,9.0,8.0,7.0,9.0,10.0,13.0,14.0,13.0,15.0,13.0,15.0,15.0,77.0,117.0,13.0,13.0,13.0,13.0,112.23334,32.15913,17.80752,1.3952399999999998,11.57143,0.0,1.0,3.0,31.0,29.0,30.0,65.0,115.96666,78.0,65.0,61.0,55.0,44.0,75.0,56.0,45.0,49.0,54.0,55.0,53.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,75.0,58.0,42.0,29.0,28.96722,28.03278,27.0,42.0,52.0,86.0,116.0,132.0,43.22034,42.77966,29.0,25.0,21.0,22.0,23.0,25.0,29.0,33.0,95.0,73.0,89.0
7,10.0,8.0,9.0,9.0,8.0,7.0,6.0,9.0,7.0,9.0,8.0,7.0,10.0,13.0,13.0,14.0,13.0,15.0,13.0,15.0,15.0,77.0,117.0,13.0,13.0,13.0,115.96666,112.23334,32.15913,17.80752,1.3952399999999998,11.57143,0.0,1.0,3.0,31.0,29.0,30.0,104.17917,88.0,78.0,65.0,61.0,55.0,44.0,75.0,56.0,45.0,49.0,54.0,55.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,136.0,75.0,58.0,42.0,29.0,28.96722,28.03278,27.0,42.0,52.0,86.0,117.0,89.0,43.22034,42.77966,29.0,25.0,21.0,22.0,23.0,25.0,29.0,33.0,95.0,53.0
8,10.0,10.0,8.0,9.0,9.0,8.0,7.0,6.0,9.0,7.0,9.0,8.0,12.0,13.0,13.0,13.0,14.0,13.0,15.0,13.0,15.0,15.0,77.0,117.0,13.0,13.03448,104.17917,115.96666,112.23334,32.15913,17.80752,1.3952399999999998,11.57143,0.0,1.0,3.0,31.0,29.0,72.3875,81.0,88.0,78.0,65.0,61.0,55.0,44.0,75.0,56.0,45.0,49.0,54.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,132.0,136.0,75.0,58.0,42.0,29.0,28.96722,28.03278,27.0,42.0,52.0,80.48276,53.0,89.0,43.22034,42.77966,29.0,25.0,21.0,22.0,23.0,25.0,29.0,33.0,90.0
9,12.0,10.0,10.0,8.0,9.0,9.0,8.0,7.0,6.0,9.0,7.0,9.0,10.0,13.03448,13.0,13.0,13.0,14.0,13.0,15.0,13.0,15.0,15.0,77.0,117.0,14.96552,72.3875,104.17917,115.96666,112.23334,32.15913,17.80752,1.3952399999999998,11.57143,0.0,1.0,3.0,31.0,31.56666,69.0,81.0,88.0,78.0,65.0,61.0,55.0,44.0,75.0,56.0,45.0,49.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.48276,117.0,132.0,136.0,75.0,58.0,42.0,29.0,28.96722,28.03278,27.0,42.0,85.51724,90.0,53.0,89.0,43.22034,42.77966,29.0,25.0,21.0,22.0,23.0,25.0,29.0,34.0
