,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
19,129.0,103.0,87.0,67.0,112.0,120.0,91.0,153.0,202.0,219.0,140.0,144.0,117.0,42.0,40.0,40.0,40.0,41.0,39.0,40.0,43.0,39.0,42.0,39.0,40.0,41.0,94.0,52.0,38.0,48.0,76.0,138.0,149.0,116.0,63.0,41.0,62.0,89.0,76.0
20,117.0,129.0,103.0,87.0,67.0,112.0,120.0,91.0,153.0,202.0,219.0,140.0,92.0,41.0,42.0,40.0,40.0,40.0,41.0,39.0,40.0,43.0,39.0,42.0,39.0,110.0,76.0,94.0,52.0,38.0,48.0,76.0,138.0,149.0,116.0,63.0,41.0,62.0,45.0
21,92.0,117.0,129.0,103.0,87.0,67.0,112.0,120.0,91.0,153.0,202.0,219.0,56.0,110.0,41.0,42.0,40.0,40.0,40.0,41.0,39.0,40.0,43.0,39.0,42.0,65.0,45.0,76.0,94.0,52.0,38.0,48.0,76.0,138.0,149.0,116.0,63.0,41.0,44.0
22,56.0,92.0,117.0,129.0,103.0,87.0,67.0,112.0,120.0,91.0,153.0,202.0,41.0,65.0,110.0,41.0,42.0,40.0,40.0,40.0,41.0,39.0,40.0,43.0,39.0,41.0,44.0,45.0,76.0,94.0,52.0,38.0,48.0,76.0,138.0,149.0,116.0,63.0,52.0
23,41.0,56.0,92.0,117.0,129.0,103.0,87.0,67.0,112.0,120.0,91.0,153.0,25.0,41.0,65.0,110.0,41.0,42.0,40.0,40.0,40.0,41.0,39.0,40.0,43.0,31.0,52.0,44.0,45.0,76.0,94.0,52.0,38.0,48.0,76.0,138.0,149.0,116.0,87.0
24,25.0,41.0,56.0,92.0,117.0,129.0,103.0,87.0,67.0,112.0,120.0,91.0,15.0,31.0,41.0,65.0,110.0,41.0,42.0,40.0,40.0,40.0,41.0,39.0,40.0,66.0,87.0,52.0,44.0,45.0,76.0,94.0,52.0,38.0,48.0,76.0,138.0,149.0,108.0
25,15.0,25.0,41.0,56.0,92.0,117.0,129.0,103.0,87.0,67.0,112.0,120.0,12.0,66.0,31.0,41.0,65.0,110.0,41.0,42.0,40.0,40.0,40.0,41.0,39.0,26.0,108.0,87.0,52.0,44.0,45.0,76.0,94.0,52.0,38.0,48.0,76.0,138.0,112.0
26,12.0,15.0,25.0,41.0,56.0,92.0,117.0,129.0,103.0,87.0,67.0,112.0,25.0,26.0,66.0,31.0,41.0,65.0,110.0,41.0,42.0,40.0,40.0,40.0,41.0,82.0,112.0,108.0,87.0,52.0,44.0,45.0,76.0,94.0,52.0,38.0,48.0,76.0,76.0
27,25.0,12.0,15.0,25.0,41.0,56.0,92.0,117.0,129.0,103.0,87.0,67.0,71.0,82.0,26.0,66.0,31.0,41.0,65.0,110.0,41.0,42.0,40.0,40.0,40.0,50.0,76.0,112.0,108.0,87.0,52.0,44.0,45.0,76.0,94.0,52.0,38.0,48.0,38.0
28,71.0,25.0,12.0,15.0,25.0,41.0,56.0,92.0,117.0,129.0,103.0,87.0,109.0,50.0,82.0,26.0,66.0,31.0,41.0,65.0,110.0,41.0,42.0,40.0,40.0,106.0,38.0,76.0,112.0,108.0,87.0,52.0,44.0,45.0,76.0,94.0,52.0,38.0,38.0
29,109.0,71.0,25.0,12.0,15.0,25.0,41.0,56.0,92.0,117.0,129.0,103.0,110.0,106.0,50.0,82.0,26.0,66.0,31.0,41.0,65.0,110.0,41.0,42.0,40.0,109.0,38.0,38.0,76.0,112.0,108.0,87.0,52.0,44.0,45.0,76.0,94.0,52.0,43.0
30,110.0,109.0,71.0,25.0,12.0,15.0,25.0,41.0,56.0,92.0,117.0,129.0,118.0,109.0,106.0,50.0,82.0,26.0,66.0,31.0,41.0,65.0,110.0,41.0,42.0,133.0,43.0,38.0,38.0,76.0,112.0,108.0,87.0,52.0,44.0,45.0,76.0,94.0,56.0
31,118.0,110.0,109.0,71.0,25.0,12.0,15.0,25.0,41.0,56.0,92.0,117.0,105.0,133.0,109.0,106.0,50.0,82.0,26.0,66.0,31.0,41.0,65.0,110.0,41.0,193.0,56.0,43.0,38.0,38.0,76.0,112.0,108.0,87.0,52.0,44.0,45.0,76.0,70.0
32,105.0,118.0,110.0,109.0,71.0,25.0,12.0,15.0,25.0,41.0,56.0,92.0,72.0,193.0,133.0,109.0,106.0,50.0,82.0,26.0,66.0,31.0,41.0,65.0,110.0,141.0,70.0,56.0,43.0,38.0,38.0,76.0,112.0,108.0,87.0,52.0,44.0,45.0,39.0
33,72.0,105.0,118.0,110.0,109.0,71.0,25.0,12.0,15.0,25.0,41.0,56.0,103.0,141.0,193.0,133.0,109.0,106.0,50.0,82.0,26.0,66.0,31.0,41.0,65.0,75.0,39.0,70.0,56.0,43.0,38.0,38.0,76.0,112.0,108.0,87.0,52.0,44.0,37.0
34,103.0,72.0,105.0,118.0,110.0,109.0,71.0,25.0,12.0,15.0,25.0,41.0,77.0,75.0,141.0,193.0,133.0,109.0,106.0,50.0,82.0,26.0,66.0,31.0,41.0,72.0,37.0,39.0,70.0,56.0,43.0,38.0,38.0,76.0,112.0,108.0,87.0,52.0,47.0
35,77.0,103.0,72.0,105.0,118.0,110.0,109.0,71.0,25.0,12.0,15.0,25.0,94.0,72.0,75.0,141.0,193.0,133.0,109.0,106.0,50.0,82.0,26.0,66.0,31.0,20.0,47.0,37.0,39.0,70.0,56.0,43.0,38.0,38.0,76.0,112.0,108.0,87.0,106.0
36,94.0,77.0,103.0,72.0,105.0,118.0,110.0,109.0,71.0,25.0,12.0,15.0,112.0,20.0,72.0,75.0,141.0,193.0,133.0,109.0,106.0,50.0,82.0,26.0,66.0,20.0,106.0,47.0,37.0,39.0,70.0,56.0,43.0,38.0,38.0,76.0,112.0,108.0,72.0
37,112.0,94.0,77.0,103.0,72.0,105.0,118.0,110.0,109.0,71.0,25.0,12.0,92.0,20.0,20.0,72.0,75.0,141.0,193.0,133.0,109.0,106.0,50.0,82.0,26.0,21.0,72.0,106.0,47.0,37.0,39.0,70.0,56.0,43.0,38.0,38.0,76.0,112.0,63.0
38,92.0,112.0,94.0,77.0,103.0,72.0,105.0,118.0,110.0,109.0,71.0,25.0,110.0,21.0,20.0,20.0,72.0,75.0,141.0,193.0,133.0,109.0,106.0,50.0,82.0,26.0,63.0,72.0,106.0,47.0,37.0,39.0,70.0,56.0,43.0,38.0,38.0,76.0,59.0
39,110.0,92.0,112.0,94.0,77.0,103.0,72.0,105.0,118.0,110.0,109.0,71.0,73.0,26.0,21.0,20.0,20.0,72.0,75.0,141.0,193.0,133.0,109.0,106.0,50.0,27.0,59.0,63.0,72.0,106.0,47.0,37.0,39.0,70.0,56.0,43.0,38.0,38.0,42.0
40,73.0,110.0,92.0,112.0,94.0,77.0,103.0,72.0,105.0,118.0,110.0,109.0,96.0,27.0,26.0,21.0,20.0,20.0,72.0,75.0,141.0,193.0,133.0,109.0,106.0,69.0,42.0,59.0,63.0,72.0,106.0,47.0,37.0,39.0,70.0,56.0,43.0,38.0,41.0
41,96.0,73.0,110.0,92.0,112.0,94.0,77.0,103.0,72.0,105.0,118.0,110.0,151.0,69.0,27.0,26.0,21.0,20.0,20.0,72.0,75.0,141.0,193.0,133.0,109.0,77.0,41.0,42.0,59.0,63.0,72.0,106.0,47.0,37.0,39.0,70.0,56.0,43.0,43.0
42,151.0,96.0,73.0,110.0,92.0,112.0,94.0,77.0,103.0,72.0,105.0,118.0,113.0,77.0,69.0,27.0,26.0,21.0,20.0,20.0,72.0,75.0,141.0,193.0,133.0,129.0,43.0,41.0,42.0,59.0,63.0,72.0,106.0,47.0,37.0,39.0,70.0,56.0,53.0
43,113.0,151.0,96.0,73.0,110.0,92.0,112.0,94.0,77.0,103.0,72.0,105.0,152.0,129.0,77.0,69.0,27.0,26.0,21.0,20.0,20.0,72.0,75.0,141.0,193.0,151.0,53.0,43.0,41.0,42.0,59.0,63.0,72.0,106.0,47.0,37.0,39.0,70.0,66.0
