      MAE    RMSE
38: 0.2240834384479765  0.23220809807062287
39: 0.06716578146153024  0.10254073462221205
4: 0.2011141020149533  0.24211877527586242
40: 0.14232232320769708  0.1698613184809544
41: 0.2829620622324252  0.33138993284116436
42: 0.14686233701024476  0.20327743225418196
43: 0.24213040035918312  0.3199687744601298
44: 0.30308825609499856  0.3424436506726032
45: 0.12857535912317522  0.17118028700078775
46: 0.05631700539538368  0.0702590590461281
47: 0.14733107596576336  0.21057754192388606
48: 0.26396345754995426  0.37753288310339966
49: 0.5719886765315912  0.5956262290256301
5: 0.19999885844748858  0.2232121156519987
50: 0.08907783395714235  0.113238214466335
51: 0.3215787309048178  0.33918146517279474
52: 0.10787801395367096  0.12650888219895015
53: 0.4648827044025157  0.4975664170391083
54: 0.09179905936167095  0.14335849846937815
55: 0.055110339083389005  0.0749975331845901
56: 0.09775345753852925  0.11799657425103621
57: 0.20385252694515957  0.22908355822873736
58: 0.1530054958586465  0.21574560325803063
59: 0.20046335325566209  0.2550982272929033
6: 24.46013878422507  26.108685739716275
60: 0.06297406562171748  0.08802610427435731
61: 0.22747181590421803  0.2933236624864774
62: 0.1461954551769208  0.17532999805654836
63: 0.17261004472308691  0.19749981555891097
64: 0.1315194114465795  0.16979562008812096
65: 0.19664690747482727  0.2408152002340331
66: 0.18923618450936316  0.3295871806531687
67: 0.37196356801491487  0.39356002372412596
68: 0.24314912865050545  0.3868643644862792
69: 0.15639507896883584  0.1795038467271447
7: 0.16648882058016098  0.18741967805460846
70: 0.13149872980734426  0.15347192234434806
71: 0.2573106540201247  0.3052619630335265
72: 0.217879676487189  0.2575451934486949
73: 0.18896054389979433  0.2681920181707784
74: 0.1095085823414903  0.12997235920409875
75: 0.21509240641675906  0.2532636166608726
76: 0.11552073184053102  0.13544593909628988
77: 0.11099585245052969  0.12622134135956742
78: 0.13331311676533034  0.14770704172905164
79: 0.024438431716124243  0.031433433305337835
8: 0.2064034015769117  0.25534667612905093
80: 0.06693316358440828  0.08173816204553228
81: 0.10035422503449361  0.11488722495358258
82: 0.19766796338206094  0.21878676514028622
83: 0.18141749941735053  0.2230906264737581
84: 0.16558863496214635  0.18488412595540732
86: 0.09879390136844972  0.12353072941640413
87: 0.07855452747731656  0.09153243375043355
88: 0.341781322766839  0.5109214324231375
89: 0.08892499783050188  0.11121835844296189
9: 0.1956865849516057  0.24464751859405778
90: 0.1912935709017383  0.2026381177879618
91: 0.38392362533914026  0.4359816320074174
92: 0.09330235118784154  0.14415071823418027
93: 0.13107811004965764  0.1730483825284923
94: 0.08117711648706234  0.09093507665213449
95: 0.1160763418655719  0.17389954015357173
96: 0.04939767404276396  0.0575474317511239
97: 0.18747578719273061  0.42496579888112324
98: 0.24427175883850996  0.3278717885764164
99: 0.20453758883492576  0.24306600703832545
