      MAE    RMSE
24: 0.15833888503936858  0.18934362979691252
25: 0.08034287731103508  0.09578292846324132
26: 0.13063327546853845  0.17626395172784592
27: 0.23760852502136295  0.2741356463591688
28: 0.21482563288678583  0.25112749338269785
29: 0.22057557149959095  0.24576031794460165
3: 0.21478061808665164  0.28039342700914477
30: 0.09099925565672295  0.12245408096297684
31: 0.24760962193487168  0.2731040319083472
32: 0.180731497169171  0.2454717705665685
33: 0.28243835779358445  0.4265821269888825
34: 0.18820278156187834  0.22006020653129607
35: 0.18375590830042307  0.22030485287375803
36: 0.17810885563876908  0.23503096172418714
37: 0.23133147835304144  0.3236143812658741
38: 0.22558564066383888  0.3119768556940155
39: 0.111832137978368  0.1564312939907815
4: 0.28821091652743025  0.337266196599439
40: 0.16050918762172384  0.1793751883608343
41: 0.24352170448940605  0.2924089257604359
42: 0.11695611817050118  0.14294431154996506
43: 0.14863953835364452  0.21215759170976056
44: 0.38362175811024835  0.3977264742230883
45: 0.23327950488674254  0.2584507695474998
46: 0.22812998700201295  0.2838047757141334
47: 0.14477329029448785  0.21221338350355648
48: 0.2612661571252929  0.3258639211134328
49: 0.19977609972435903  0.22159713824068547
5: 0.30316432118406816  0.34292527965905195
50: 0.2022473995333093  0.22191875546547338
51: 0.19932491534107233  0.34919031591275745
52: 0.23100957735832142  0.27819625462848685
53: 0.48506463371731834  0.5290016590422559
54: 0.3340119857085604  0.35385285090993324
55: 0.09481819134795051  0.12062568344091894
56: 0.1421223805141897  0.1935533904025001
57: 0.21758400994099045  0.2454407990244805
58: 0.2379282048911285  0.3640435460806169
59: 0.24956126402939638  0.2945938755364418
6: 0.6220940240632021  0.6755792513873663
60: 0.1244662733830958  0.16762247339100375
61: 0.16966721665506931  0.20926191266131314
62: 0.20751631295459108  0.27942826095004697
63: 0.2701309543741525  0.30856537851083615
64: 0.09734736921150294  0.12706297951814302
65: 0.16414306099148893  0.19553936547526707
66: 0.41501199504904324  0.4341415097046955
67: 0.2032429986640841  0.23846799613857203
68: 0.1674151965914269  0.25946792808006486
69: 0.24748998825942423  0.283289578279227
7: 0.18447024831620654  0.24758661682166433
70: 0.3468123394590264  0.41962319770610534
71: 0.19281263418231234  0.22982433695272278
72: 0.13221995598269798  0.16969448123272193
73: 0.22722123240932857  0.30861737226660163
74: 0.35619145321337103  0.38639297830353914
75: 0.17527529145741894  0.2230740550968945
76: 0.2870000988676927  0.3224684685846578
77: 0.37210673815795925  0.4223911041757207
78: 0.21194319377170587  0.23945426841618594
79: 0.1887967855023809  0.21484104079659044
8: 0.23617424855117308  0.27805839692014106
80: 0.3160954129921973  0.4192372392057782
81: 0.19048162809161406  0.2209469395270253
82: 0.28429357847358  0.3411563516658541
83: 0.2546757479883153  0.29880279897743944
84: 0.3533108807204841  0.41211076506153677
86: 0.22943283695869157  0.26384353887230827
87: 0.14559958741941184  0.17864040843754472
88: 0.2350658614192979  0.3332851557766992
89: 0.12302475460773017  0.17353115128834987
9: 0.25581198094055396  0.29856042351972034
90: 0.21395698373950864  0.27066631132831465
91: 0.21232255091071117  0.259873185759671
92: 0.2104156746217316  0.2830233785863101
93: 0.15040178259019968  0.1637658166207863
94: 0.31287684831226087  0.3961053565135591
95: 0.2004776677963893  0.2492615150462906
96: 0.25747123768360164  0.33330155276209233
97: 0.12032915042085417  0.28038385318385417
98: 0.2490148168073196  0.3360336837008326
99: 0.29814111827156226  0.40708307268951643
