,0m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,0,1,2,3,4,5,6,7,8,9,10,11,12
10,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-533.0,-519.0,-732.0,-765.0,-778.0,-783.00001,-717.0,-140.0,0.0,2.0,1.0,7.0,-348.0
11,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-348.0,-533.0,-519.0,-732.0,-765.0,-778.0,-783.00001,-717.0,-140.0,0.0,2.0,1.0,-335.0
12,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-335.0,-348.0,-533.0,-519.0,-732.0,-765.0,-778.0,-783.00001,-717.0,-140.0,0.0,2.0,-362.0
13,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-362.0,-335.0,-348.0,-533.0,-519.0,-732.0,-765.0,-778.0,-783.00001,-717.0,-140.0,0.0,-338.0
14,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-338.0,-362.0,-335.0,-348.0,-533.0,-519.0,-732.0,-765.0,-778.0,-783.00001,-717.0,-140.0,-648.0
15,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-648.0,-338.0,-362.0,-335.0,-348.0,-533.0,-519.0,-732.0,-765.0,-778.0,-783.00001,-717.0,-614.0
16,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-614.0,-648.0,-338.0,-362.0,-335.0,-348.0,-533.0,-519.0,-732.0,-765.0,-778.0,-783.00001,-751.0
17,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-751.0,-614.0,-648.0,-338.0,-362.0,-335.0,-348.0,-533.0,-519.0,-732.0,-765.0,-778.0,-820.0
18,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-820.0,-751.0,-614.0,-648.0,-338.0,-362.0,-335.0,-348.0,-533.0,-519.0,-732.0,-765.0,-770.0
19,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-770.0,-820.0,-751.0,-614.0,-648.0,-338.0,-362.0,-335.0,-348.0,-533.0,-519.0,-732.0,-744.0
