,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,535.5878700000001,392.67619,346.63876,335.69458,549.11521,491.36693,395.575,346.91111,309.19658000000004,320.48892,333.15254,368.26396,396.77126,186.0,181.0,187.0,180.0,187.0,187.0,180.0,187.0,181.0,186.0,169.0,187.0,187.0,396.0,220.0,217.0,206.0,273.0,313.0,267.0,273.0,197.0,217.0,217.35,258.1582,334.0,46.0,169.0,166.0,146.0,157.0,177.0,158.0,163.0,27.0,16.0,53.0,106.0,11.0,631.0,586.0,372.0,345.0,420.0,323.0,296.0,276.0,261.0,275.0,293.05,327.52377,702.0,4.83333,4.67742,4.83333,4.67742,4.83333,12.42393,50.22099,51.89503,50.22099,51.89503,46.87293,43.52486,24.0914,953.0,897.0,1031.0,915.0,1122.0,1177.0,1105.0,1049.0,975.0,898.0,847.0952400000001,904.90476,867.0
1,396.77126,535.5878700000001,392.67619,346.63876,335.69458,549.11521,491.36693,395.575,346.91111,309.19658000000004,320.48892,333.15254,341.35314,187.0,186.0,181.0,187.0,180.0,187.0,187.0,180.0,187.0,181.0,186.0,169.0,166.0,334.0,396.0,220.0,217.0,206.0,273.0,313.0,267.0,273.0,197.0,217.0,217.35,228.0,11.0,46.0,169.0,166.0,146.0,157.0,177.0,158.0,163.0,27.0,16.0,53.0,11.0,702.0,631.0,586.0,372.0,345.0,420.0,323.0,296.0,276.0,261.0,275.0,293.05,551.0,24.0914,4.83333,4.67742,4.83333,4.67742,4.83333,12.42393,50.22099,51.89503,50.22099,51.89503,46.87293,27.0,867.0,953.0,897.0,1031.0,915.0,1122.0,1177.0,1105.0,1049.0,975.0,898.0,847.0952400000001,744.0
2,341.35314,396.77126,535.5878700000001,392.67619,346.63876,335.69458,549.11521,491.36693,395.575,346.91111,309.19658000000004,320.48892,398.84041,166.0,187.0,186.0,181.0,187.0,180.0,187.0,187.0,180.0,187.0,181.0,186.0,115.0,228.0,334.0,396.0,220.0,217.0,206.0,273.0,313.0,267.0,273.0,197.0,217.0,214.0,11.0,11.0,46.0,169.0,166.0,146.0,157.0,177.0,158.0,163.0,27.0,16.0,12.0,551.0,702.0,631.0,586.0,372.0,345.0,420.0,323.0,296.0,276.0,261.0,275.0,602.0,27.0,24.0914,4.83333,4.67742,4.83333,4.67742,4.83333,12.42393,50.22099,51.89503,50.22099,51.89503,30.0,744.0,867.0,953.0,897.0,1031.0,915.0,1122.0,1177.0,1105.0,1049.0,975.0,898.0,790.0
3,398.84041,341.35314,396.77126,535.5878700000001,392.67619,346.63876,335.69458,549.11521,491.36693,395.575,346.91111,309.19658000000004,372.43778,115.0,166.0,187.0,186.0,181.0,187.0,180.0,187.0,187.0,180.0,187.0,181.0,111.0,214.0,228.0,334.0,396.0,220.0,217.0,206.0,273.0,313.0,267.0,273.0,197.0,249.0,12.0,11.0,11.0,46.0,169.0,166.0,146.0,157.0,177.0,158.0,163.0,27.0,11.0,602.0,551.0,702.0,631.0,586.0,372.0,345.0,420.0,323.0,296.0,276.0,261.0,581.0,30.0,27.0,24.0914,4.83333,4.67742,4.83333,4.67742,4.83333,12.42393,50.22099,51.89503,50.22099,29.0,790.0,744.0,867.0,953.0,897.0,1031.0,915.0,1122.0,1177.0,1105.0,1049.0,975.0,971.0
4,372.43778,398.84041,341.35314,396.77126,535.5878700000001,392.67619,346.63876,335.69458,549.11521,491.36693,395.575,346.91111,345.80953,111.0,115.0,166.0,187.0,186.0,181.0,187.0,180.0,187.0,187.0,180.0,187.0,115.0,249.0,214.0,228.0,334.0,396.0,220.0,217.0,206.0,273.0,313.0,267.0,273.0,227.0,11.0,12.0,11.0,11.0,46.0,169.0,166.0,146.0,157.0,177.0,158.0,163.0,99.0,581.0,602.0,551.0,702.0,631.0,586.0,372.0,345.0,420.0,323.0,296.0,276.0,376.0,29.0,30.0,27.0,24.0914,4.83333,4.67742,4.83333,4.67742,4.83333,12.42393,50.22099,51.89503,30.0,971.0,790.0,744.0,867.0,953.0,897.0,1031.0,915.0,1122.0,1177.0,1105.0,1049.0,978.0
5,345.80953,372.43778,398.84041,341.35314,396.77126,535.5878700000001,392.67619,346.63876,335.69458,549.11521,491.36693,395.575,388.33333,115.0,111.0,115.0,166.0,187.0,186.0,181.0,187.0,180.0,187.0,187.0,180.0,270.0,227.0,249.0,214.0,228.0,334.0,396.0,220.0,217.0,206.0,273.0,313.0,267.0,265.0,99.0,11.0,12.0,11.0,11.0,46.0,169.0,166.0,146.0,157.0,177.0,158.0,132.0,376.0,581.0,602.0,551.0,702.0,631.0,586.0,372.0,345.0,420.0,323.0,296.0,382.0,30.0,29.0,30.0,27.0,24.0914,4.83333,4.67742,4.83333,4.67742,4.83333,12.42393,50.22099,29.0,978.0,971.0,790.0,744.0,867.0,953.0,897.0,1031.0,915.0,1122.0,1177.0,1105.0,917.0
6,388.33333,345.80953,372.43778,398.84041,341.35314,396.77126,535.5878700000001,392.67619,346.63876,335.69458,549.11521,491.36693,590.3870900000001,270.0,115.0,111.0,115.0,166.0,187.0,186.0,181.0,187.0,180.0,187.0,187.0,314.0,265.0,227.0,249.0,214.0,228.0,334.0,396.0,220.0,217.0,206.0,273.0,313.0,306.0,132.0,99.0,11.0,12.0,11.0,11.0,46.0,169.0,166.0,146.0,157.0,177.0,144.0,382.0,376.0,581.0,602.0,551.0,702.0,631.0,586.0,372.0,345.0,420.0,323.0,424.0,29.0,30.0,29.0,30.0,27.0,24.0914,4.83333,4.67742,4.83333,4.67742,4.83333,12.42393,29.0,917.0,978.0,971.0,790.0,744.0,867.0,953.0,897.0,1031.0,915.0,1122.0,1177.0,1031.0
7,590.3870900000001,388.33333,345.80953,372.43778,398.84041,341.35314,396.77126,535.5878700000001,392.67619,346.63876,335.69458,549.11521,565.61291,314.0,270.0,115.0,111.0,115.0,166.0,187.0,186.0,181.0,187.0,180.0,187.0,488.0,306.0,265.0,227.0,249.0,214.0,228.0,334.0,396.0,220.0,217.0,206.0,273.0,266.0,144.0,132.0,99.0,11.0,12.0,11.0,11.0,46.0,169.0,166.0,146.0,157.0,170.0,424.0,382.0,376.0,581.0,602.0,551.0,702.0,631.0,586.0,372.0,345.0,420.0,340.0,29.0,29.0,30.0,29.0,30.0,27.0,24.0914,4.83333,4.67742,4.83333,4.67742,4.83333,30.0,1031.0,917.0,978.0,971.0,790.0,744.0,867.0,953.0,897.0,1031.0,915.0,1122.0,1068.0
8,565.61291,590.3870900000001,388.33333,345.80953,372.43778,398.84041,341.35314,396.77126,535.5878700000001,392.67619,346.63876,335.69458,387.46667,488.0,314.0,270.0,115.0,111.0,115.0,166.0,187.0,186.0,181.0,187.0,180.0,320.0,266.0,306.0,265.0,227.0,249.0,214.0,228.0,334.0,396.0,220.0,217.0,206.0,210.0,170.0,144.0,132.0,99.0,11.0,12.0,11.0,11.0,46.0,169.0,166.0,146.0,132.0,340.0,424.0,382.0,376.0,581.0,602.0,551.0,702.0,631.0,586.0,372.0,345.0,383.0,30.0,29.0,29.0,30.0,29.0,30.0,27.0,24.0914,4.83333,4.67742,4.83333,4.67742,29.0,1068.0,1031.0,917.0,978.0,971.0,790.0,744.0,867.0,953.0,897.0,1031.0,915.0,319.0
9,387.46667,565.61291,590.3870900000001,388.33333,345.80953,372.43778,398.84041,341.35314,396.77126,535.5878700000001,392.67619,346.63876,360.06274,320.0,488.0,314.0,270.0,115.0,111.0,115.0,166.0,187.0,186.0,181.0,187.0,311.0,210.0,266.0,306.0,265.0,227.0,249.0,214.0,228.0,334.0,396.0,220.0,217.0,295.0,132.0,170.0,144.0,132.0,99.0,11.0,12.0,11.0,11.0,46.0,169.0,166.0,138.0,383.0,340.0,424.0,382.0,376.0,581.0,602.0,551.0,702.0,631.0,586.0,372.0,502.0,29.0,30.0,29.0,29.0,30.0,29.0,30.0,27.0,24.0914,4.83333,4.67742,4.83333,30.0,319.0,1068.0,1031.0,917.0,978.0,971.0,790.0,744.0,867.0,953.0,897.0,1031.0,1000.0
