,0,1,2,3,4,5,6
0,364.0,357.0,302.0,319.98305,289.01695,352.625,321.0
1,441.0,364.0,357.0,302.0,319.98305,289.01695,291.0
2,371.03125,441.0,364.0,357.0,302.0,319.98305,320.0
3,338.75136,371.03125,441.0,364.0,357.0,302.0,308.0
4,340.21739,338.75136,371.03125,441.0,364.0,357.0,309.0
5,304.0,340.21739,338.75136,371.03125,441.0,364.0,320.2
6,308.0,304.0,340.21739,338.75136,371.03125,441.0,392.79999999999995
7,321.0,308.0,304.0,340.21739,338.75136,371.03125,332.96774
8,291.0,321.0,308.0,304.0,340.21739,338.75136,345.99777
9,320.0,291.0,321.0,308.0,304.0,340.21739,357.03448
10,308.0,320.0,291.0,321.0,308.0,304.0,304.0
11,309.0,308.0,320.0,291.0,321.0,308.0,321.0
12,320.2,309.0,308.0,320.0,291.0,321.0,306.0
13,392.79999999999995,320.2,309.0,308.0,320.0,291.0,323.0
14,332.96774,392.79999999999995,320.2,309.0,308.0,320.0,247.0
15,345.99777,332.96774,392.79999999999995,320.2,309.0,308.0,232.0
16,357.03448,345.99777,332.96774,392.79999999999995,320.2,309.0,227.0
17,304.0,357.03448,345.99777,332.96774,392.79999999999995,320.2,336.0
18,321.0,304.0,357.03448,345.99777,332.96774,392.79999999999995,465.0
19,306.0,321.0,304.0,357.03448,345.99777,332.96774,371.0
20,323.0,306.0,321.0,304.0,357.03448,345.99777,320.0
21,247.0,323.0,306.0,321.0,304.0,357.03448,315.0
22,232.0,247.0,323.0,306.0,321.0,304.0,323.0
23,227.0,232.0,247.0,323.0,306.0,321.0,321.0
24,336.0,227.0,232.0,247.0,323.0,306.0,319.0
25,465.0,336.0,227.0,232.0,247.0,323.0,279.0
26,371.0,465.0,336.0,227.0,232.0,247.0,324.0
27,320.0,371.0,465.0,336.0,227.0,232.0,299.0
28,315.0,320.0,371.0,465.0,336.0,227.0,322.0
29,323.0,315.0,320.0,371.0,465.0,336.0,334.0
30,321.0,323.0,315.0,320.0,371.0,465.0,363.0
31,319.0,321.0,323.0,315.0,320.0,371.0,382.0
32,279.0,319.0,321.0,323.0,315.0,320.0,311.0
