,0,1,2,3,4,5,6
0,7.0,12.0,9.0,7.0,7.0,8.0,6.0
1,9.0,7.0,12.0,9.0,7.0,7.0,7.0
2,7.0,9.0,7.0,12.0,9.0,7.0,8.0
3,8.0,7.0,9.0,7.0,12.0,9.0,9.0
4,9.0,8.0,7.0,9.0,7.0,12.0,9.0
5,7.0,9.0,8.0,7.0,9.0,7.0,8.0
6,9.0,7.0,9.0,8.0,7.0,9.0,10.0
7,6.0,9.0,7.0,9.0,8.0,7.0,10.0
8,7.0,6.0,9.0,7.0,9.0,8.0,12.0
9,8.0,7.0,6.0,9.0,7.0,9.0,10.0
10,9.0,8.0,7.0,6.0,9.0,7.0,8.0
11,9.0,9.0,8.0,7.0,6.0,9.0,9.0
12,8.0,9.0,9.0,8.0,7.0,6.0,9.0
13,10.0,8.0,9.0,9.0,8.0,7.0,8.0
14,10.0,10.0,8.0,9.0,9.0,8.0,9.0
15,12.0,10.0,10.0,8.0,9.0,9.0,8.0
16,10.0,12.0,10.0,10.0,8.0,9.0,9.0
17,8.0,10.0,12.0,10.0,10.0,8.0,28.0
18,9.0,8.0,10.0,12.0,10.0,10.0,198.0
19,9.0,9.0,8.0,10.0,12.0,10.0,126.0
20,8.0,9.0,9.0,8.0,10.0,12.0,84.0
21,9.0,8.0,9.0,9.0,8.0,10.0,69.0
22,8.0,9.0,8.0,9.0,9.0,8.0,64.0
23,9.0,8.0,9.0,8.0,9.0,9.0,54.0
24,28.0,9.0,8.0,9.0,8.0,9.0,53.0
25,198.0,28.0,9.0,8.0,9.0,8.0,47.0
26,126.0,198.0,28.0,9.0,8.0,9.0,63.0
27,84.0,126.0,198.0,28.0,9.0,8.0,67.0
28,69.0,84.0,126.0,198.0,28.0,9.0,79.0
29,64.0,69.0,84.0,126.0,198.0,28.0,100.0
30,54.0,64.0,69.0,84.0,126.0,198.0,104.0
31,53.0,54.0,64.0,69.0,84.0,126.0,106.0
32,47.0,53.0,54.0,64.0,69.0,84.0,88.0
33,63.0,47.0,53.0,54.0,64.0,69.0,72.0
34,67.0,63.0,47.0,53.0,54.0,64.0,64.0
35,79.0,67.0,63.0,47.0,53.0,54.0,62.0
36,100.0,79.0,67.0,63.0,47.0,53.0,63.0
37,104.0,100.0,79.0,67.0,63.0,47.0,57.0
38,106.0,104.0,100.0,79.0,67.0,63.0,66.0
39,88.0,106.0,104.0,100.0,79.0,67.0,64.0
40,72.0,88.0,106.0,104.0,100.0,79.0,66.0
41,64.0,72.0,88.0,106.0,104.0,100.0,105.0
42,62.0,64.0,72.0,88.0,106.0,104.0,127.0
43,63.0,62.0,64.0,72.0,88.0,106.0,113.0
44,57.0,63.0,62.0,64.0,72.0,88.0,104.0
45,66.0,57.0,63.0,62.0,64.0,72.0,83.0
46,64.0,66.0,57.0,63.0,62.0,64.0,67.0
47,66.0,64.0,66.0,57.0,63.0,62.0,57.0
48,105.0,66.0,64.0,66.0,57.0,63.0,62.0
49,127.0,105.0,66.0,64.0,66.0,57.0,54.0
50,113.0,127.0,105.0,66.0,64.0,66.0,62.0
51,104.0,113.0,127.0,105.0,66.0,64.0,64.0
52,83.0,104.0,113.0,127.0,105.0,66.0,75.0
53,67.0,83.0,104.0,113.0,127.0,105.0,87.0
54,57.0,67.0,83.0,104.0,113.0,127.0,122.0
55,62.0,57.0,67.0,83.0,104.0,113.0,38.0
56,54.0,62.0,57.0,67.0,83.0,104.0,24.0
57,62.0,54.0,62.0,57.0,67.0,83.0,9.0
58,64.0,62.0,54.0,62.0,57.0,67.0,8.0
59,75.0,64.0,62.0,54.0,62.0,57.0,6.0
60,87.0,75.0,64.0,62.0,54.0,62.0,10.0
61,122.0,87.0,75.0,64.0,62.0,54.0,8.0
62,38.0,122.0,87.0,75.0,64.0,62.0,9.0
63,24.0,38.0,122.0,87.0,75.0,64.0,10.0
64,9.0,24.0,38.0,122.0,87.0,75.0,25.0
65,8.0,9.0,24.0,38.0,122.0,87.0,29.0
66,6.0,8.0,9.0,24.0,38.0,122.0,78.0
67,10.0,6.0,8.0,9.0,24.0,38.0,44.0
68,8.0,10.0,6.0,8.0,9.0,24.0,18.0
69,9.0,8.0,10.0,6.0,8.0,9.0,9.0
70,10.0,9.0,8.0,10.0,6.0,8.0,7.0
71,25.0,10.0,9.0,8.0,10.0,6.0,7.0
72,29.0,25.0,10.0,9.0,8.0,10.0,9.0
73,78.0,29.0,25.0,10.0,9.0,8.0,8.0
74,44.0,78.0,29.0,25.0,10.0,9.0,9.0
75,18.0,44.0,78.0,29.0,25.0,10.0,15.0
76,9.0,18.0,44.0,78.0,29.0,25.0,38.0
77,7.0,9.0,18.0,44.0,78.0,29.0,43.0
78,7.0,7.0,9.0,18.0,44.0,78.0,64.0
79,9.0,7.0,7.0,9.0,18.0,44.0,80.0
80,8.0,9.0,7.0,7.0,9.0,18.0,23.0
81,9.0,8.0,9.0,7.0,7.0,9.0,10.0
82,15.0,9.0,8.0,9.0,7.0,7.0,7.0
83,38.0,15.0,9.0,8.0,9.0,7.0,8.0
84,43.0,38.0,15.0,9.0,8.0,9.0,8.0
85,64.0,43.0,38.0,15.0,9.0,8.0,6.0
86,80.0,64.0,43.0,38.0,15.0,9.0,9.0
87,23.0,80.0,64.0,43.0,38.0,15.0,13.0
88,10.0,23.0,80.0,64.0,43.0,38.0,12.0
89,7.0,10.0,23.0,80.0,64.0,43.0,26.0
90,8.0,7.0,10.0,23.0,80.0,64.0,41.0
91,8.0,8.0,7.0,10.0,23.0,80.0,39.0
92,6.0,8.0,8.0,7.0,10.0,23.0,25.0
93,9.0,6.0,8.0,8.0,7.0,10.0,11.241999999999999
94,13.0,9.0,6.0,8.0,8.0,7.0,7.429
95,12.0,13.0,9.0,6.0,8.0,8.0,7.452
