,0,1,2,3,4,5,6
0,225.0,182.0,188.0,258.50848,233.49151999999998,290.17391,183.01754
1,259.0,225.0,182.0,188.0,258.50848,233.49151999999998,168.98246
2,245.0,259.0,225.0,182.0,188.0,258.50848,169.0
3,180.29788,245.0,259.0,225.0,182.0,188.0,130.0
4,182.70212,180.29788,245.0,259.0,225.0,182.0,126.0
5,190.0,182.70212,180.29788,245.0,259.0,225.0,118.0
6,215.0,190.0,182.70212,180.29788,245.0,259.0,191.0
7,183.01754,215.0,190.0,182.70212,180.29788,245.0,233.0
8,168.98246,183.01754,215.0,190.0,182.70212,180.29788,177.0
9,169.0,168.98246,183.01754,215.0,190.0,182.70212,137.0
10,130.0,169.0,168.98246,183.01754,215.0,190.0,181.94643000000002
11,126.0,130.0,169.0,168.98246,183.01754,215.0,202.05356999999998
12,118.0,126.0,130.0,169.0,168.98246,183.01754,265.0
13,191.0,118.0,126.0,130.0,169.0,168.98246,250.0
14,233.0,191.0,118.0,126.0,130.0,169.0,168.0
15,177.0,233.0,191.0,118.0,126.0,130.0,131.0
16,137.0,177.0,233.0,191.0,118.0,126.0,111.0
17,181.94643000000002,137.0,177.0,233.0,191.0,118.0,128.0
18,202.05356999999998,181.94643000000002,137.0,177.0,233.0,191.0,229.0
19,265.0,202.05356999999998,181.94643000000002,137.0,177.0,233.0,247.0
20,250.0,265.0,202.05356999999998,181.94643000000002,137.0,177.0,146.0
21,168.0,250.0,265.0,202.05356999999998,181.94643000000002,137.0,153.0
22,131.0,168.0,250.0,265.0,202.05356999999998,181.94643000000002,162.0
23,111.0,131.0,168.0,250.0,265.0,202.05356999999998,197.0
24,128.0,111.0,131.0,168.0,250.0,265.0,204.0
25,229.0,128.0,111.0,131.0,168.0,250.0,198.0
26,247.0,229.0,128.0,111.0,131.0,168.0,212.0
27,146.0,247.0,229.0,128.0,111.0,131.0,172.0
28,153.0,146.0,247.0,229.0,128.0,111.0,138.0
29,162.0,153.0,146.0,247.0,229.0,128.0,167.0
30,197.0,162.0,153.0,146.0,247.0,229.0,207.0
31,204.0,197.0,162.0,153.0,146.0,247.0,222.0
32,198.0,204.0,197.0,162.0,153.0,146.0,153.0
33,212.0,198.0,204.0,197.0,162.0,153.0,165.0
34,172.0,212.0,198.0,204.0,197.0,162.0,178.0
35,138.0,172.0,212.0,198.0,204.0,197.0,213.0
36,167.0,138.0,172.0,212.0,198.0,204.0,202.0
37,207.0,167.0,138.0,172.0,212.0,198.0,171.0
38,222.0,207.0,167.0,138.0,172.0,212.0,176.0
39,153.0,222.0,207.0,167.0,138.0,172.0,142.0
40,165.0,153.0,222.0,207.0,167.0,138.0,129.0
41,178.0,165.0,153.0,222.0,207.0,167.0,121.0
42,213.0,178.0,165.0,153.0,222.0,207.0,148.0
43,202.0,213.0,178.0,165.0,153.0,222.0,234.0
44,171.0,202.0,213.0,178.0,165.0,153.0,155.0
45,176.0,171.0,202.0,213.0,178.0,165.0,166.0
46,142.0,176.0,171.0,202.0,213.0,178.0,137.0
47,129.0,142.0,176.0,171.0,202.0,213.0,170.0
48,121.0,129.0,142.0,176.0,171.0,202.0,173.0
49,148.0,121.0,129.0,142.0,176.0,171.0,162.0
50,234.0,148.0,121.0,129.0,142.0,176.0,162.0
51,155.0,234.0,148.0,121.0,129.0,142.0,129.0
52,166.0,155.0,234.0,148.0,121.0,129.0,115.0
53,137.0,166.0,155.0,234.0,148.0,121.0,120.0
54,170.0,137.0,166.0,155.0,234.0,148.0,149.0
55,173.0,170.0,137.0,166.0,155.0,234.0,155.0
56,162.0,173.0,170.0,137.0,166.0,155.0,145.0
57,162.0,162.0,173.0,170.0,137.0,166.0,180.0
58,129.0,162.0,162.0,173.0,170.0,137.0,197.0
59,115.0,129.0,162.0,162.0,173.0,170.0,169.0
60,120.0,115.0,129.0,162.0,162.0,173.0,173.0
61,149.0,120.0,115.0,129.0,162.0,162.0,160.0
62,155.0,149.0,120.0,115.0,129.0,162.0,166.0
63,145.0,155.0,149.0,120.0,115.0,129.0,135.0
64,180.0,145.0,155.0,149.0,120.0,115.0,145.0
65,197.0,180.0,145.0,155.0,149.0,120.0,128.0
66,169.0,197.0,180.0,145.0,155.0,149.0,145.0
67,173.0,169.0,197.0,180.0,145.0,155.0,143.0
68,160.0,173.0,169.0,197.0,180.0,145.0,125.0
69,166.0,160.0,173.0,169.0,197.0,180.0,133.0
70,135.0,166.0,160.0,173.0,169.0,197.0,198.0
71,145.0,135.0,166.0,160.0,173.0,169.0,404.0
72,128.0,145.0,135.0,166.0,160.0,173.0,432.0
73,145.0,128.0,145.0,135.0,166.0,160.0,173.0
74,143.0,145.0,128.0,145.0,135.0,166.0,128.0
75,125.0,143.0,145.0,128.0,145.0,135.0,111.0
76,133.0,125.0,143.0,145.0,128.0,145.0,108.0
77,198.0,133.0,125.0,143.0,145.0,128.0,101.0
78,404.0,198.0,133.0,125.0,143.0,145.0,128.0
79,432.0,404.0,198.0,133.0,125.0,143.0,133.0
80,173.0,432.0,404.0,198.0,133.0,125.0,100.0
81,128.0,173.0,432.0,404.0,198.0,133.0,100.0
82,111.0,128.0,173.0,432.0,404.0,198.0,287.0
83,108.0,111.0,128.0,173.0,432.0,404.0,363.0
84,101.0,108.0,111.0,128.0,173.0,432.0,392.0
85,128.0,101.0,108.0,111.0,128.0,173.0,292.0
86,133.0,128.0,101.0,108.0,111.0,128.0,331.0
87,100.0,133.0,128.0,101.0,108.0,111.0,96.0
88,100.0,100.0,133.0,128.0,101.0,108.0,100.0
89,287.0,100.0,100.0,133.0,128.0,101.0,100.0
90,363.0,287.0,100.0,100.0,133.0,128.0,174.0
