,0,1,2,3,4,5,6
0,153.0,174.0,235.0,302.0,299.0,273.0,211.0
1,153.0,153.0,174.0,235.0,302.0,299.0,255.0
2,147.0,153.0,153.0,174.0,235.0,302.0,202.0
3,183.0,147.0,153.0,153.0,174.0,235.0,159.68675
4,228.0,183.0,147.0,153.0,153.0,174.0,165.83133
5,224.0,228.0,183.0,147.0,153.0,153.0,160.48193
6,195.0,224.0,228.0,183.0,147.0,153.0,144.0
7,211.0,195.0,224.0,228.0,183.0,147.0,183.0
8,255.0,211.0,195.0,224.0,228.0,183.0,159.0
9,202.0,255.0,211.0,195.0,224.0,228.0,161.44828
10,159.68675,202.0,255.0,211.0,195.0,224.0,165.51724
11,165.83133,159.68675,202.0,255.0,211.0,195.0,171.03449
12,160.48193,165.83133,159.68675,202.0,255.0,211.0,233.0
13,144.0,160.48193,165.83133,159.68675,202.0,255.0,273.0
14,183.0,144.0,160.48193,165.83133,159.68675,202.0,163.0
15,159.0,183.0,144.0,160.48193,165.83133,159.68675,131.0
16,161.44828,159.0,183.0,144.0,160.48193,165.83133,93.0
17,165.51724,161.44828,159.0,183.0,144.0,160.48193,108.0
18,171.03449,165.51724,161.44828,159.0,183.0,144.0,144.0
19,233.0,171.03449,165.51724,161.44828,159.0,183.0,155.0
20,273.0,233.0,171.03449,165.51724,161.44828,159.0,139.0
21,163.0,273.0,233.0,171.03449,165.51724,161.44828,199.0
22,131.0,163.0,273.0,233.0,171.03449,165.51724,166.0
23,93.0,131.0,163.0,273.0,233.0,171.03449,182.0
24,108.0,93.0,131.0,163.0,273.0,233.0,205.0
25,144.0,108.0,93.0,131.0,163.0,273.0,216.0
26,155.0,144.0,108.0,93.0,131.0,163.0,196.0
27,139.0,155.0,144.0,108.0,93.0,131.0,177.0
28,199.0,139.0,155.0,144.0,108.0,93.0,187.0
29,166.0,199.0,139.0,155.0,144.0,108.0,194.0
30,182.0,166.0,199.0,139.0,155.0,144.0,224.0
31,205.0,182.0,166.0,199.0,139.0,155.0,205.0
32,216.0,205.0,182.0,166.0,199.0,139.0,219.0
