,0,1,2,3,4,5,6
0,32.0,30.0,28.0,24.16949,21.83051,30.955560000000002,22.0
1,73.0,32.0,30.0,28.0,24.16949,21.83051,21.0
2,95.0,73.0,32.0,30.0,28.0,24.16949,25.0
3,33.0,95.0,73.0,32.0,30.0,28.0,29.0
4,29.0,33.0,95.0,73.0,32.0,30.0,42.77966
5,25.0,29.0,33.0,95.0,73.0,32.0,43.22034
6,23.0,25.0,29.0,33.0,95.0,73.0,89.0
7,22.0,23.0,25.0,29.0,33.0,95.0,53.0
8,21.0,22.0,23.0,25.0,29.0,33.0,90.0
9,25.0,21.0,22.0,23.0,25.0,29.0,34.0
10,29.0,25.0,21.0,22.0,23.0,25.0,27.0
11,42.77966,29.0,25.0,21.0,22.0,23.0,33.0
12,43.22034,42.77966,29.0,25.0,21.0,22.0,25.0
13,89.0,43.22034,42.77966,29.0,25.0,21.0,20.0
14,53.0,89.0,43.22034,42.77966,29.0,25.0,26.0
15,90.0,53.0,89.0,43.22034,42.77966,29.0,26.0
16,34.0,90.0,53.0,89.0,43.22034,42.77966,37.0
17,27.0,34.0,90.0,53.0,89.0,43.22034,82.0
18,33.0,27.0,34.0,90.0,53.0,89.0,76.0
19,25.0,33.0,27.0,34.0,90.0,53.0,81.0
20,20.0,25.0,33.0,27.0,34.0,90.0,68.0
21,26.0,20.0,25.0,33.0,27.0,34.0,33.0
22,26.0,26.0,20.0,25.0,33.0,27.0,27.0
23,37.0,26.0,26.0,20.0,25.0,33.0,22.0
24,82.0,37.0,26.0,26.0,20.0,25.0,22.0
25,76.0,82.0,37.0,26.0,26.0,20.0,28.0
26,81.0,76.0,82.0,37.0,26.0,26.0,25.0
27,68.0,81.0,76.0,82.0,37.0,26.0,27.0
28,33.0,68.0,81.0,76.0,82.0,37.0,36.0
29,27.0,33.0,68.0,81.0,76.0,82.0,67.0
30,22.0,27.0,33.0,68.0,81.0,76.0,78.0
31,22.0,22.0,27.0,33.0,68.0,81.0,81.0
32,28.0,22.0,22.0,27.0,33.0,68.0,34.0
33,25.0,28.0,22.0,22.0,27.0,33.0,31.0
34,27.0,25.0,28.0,22.0,22.0,27.0,25.0
35,36.0,27.0,25.0,28.0,22.0,22.0,26.0
36,67.0,36.0,27.0,25.0,28.0,22.0,43.0
37,78.0,67.0,36.0,27.0,25.0,28.0,36.0
38,81.0,78.0,67.0,36.0,27.0,25.0,38.0
39,34.0,81.0,78.0,67.0,36.0,27.0,36.0
40,31.0,34.0,81.0,78.0,67.0,36.0,39.0
41,25.0,31.0,34.0,81.0,78.0,67.0,78.0
42,26.0,25.0,31.0,34.0,81.0,78.0,38.0
43,43.0,26.0,25.0,31.0,34.0,81.0,38.0
44,36.0,43.0,26.0,25.0,31.0,34.0,34.0
45,38.0,36.0,43.0,26.0,25.0,31.0,31.0
46,36.0,38.0,36.0,43.0,26.0,25.0,38.0
47,39.0,36.0,38.0,36.0,43.0,26.0,46.0
48,78.0,39.0,36.0,38.0,36.0,43.0,53.0
49,38.0,78.0,39.0,36.0,38.0,36.0,45.0
50,38.0,38.0,78.0,39.0,36.0,38.0,64.0
51,34.0,38.0,38.0,78.0,39.0,36.0,35.0
52,31.0,34.0,38.0,38.0,78.0,39.0,35.0
53,38.0,31.0,34.0,38.0,38.0,78.0,70.0
54,46.0,38.0,31.0,34.0,38.0,38.0,72.0
55,53.0,46.0,38.0,31.0,34.0,38.0,103.0
56,45.0,53.0,46.0,38.0,31.0,34.0,72.0
57,64.0,45.0,53.0,46.0,38.0,31.0,46.0
58,35.0,64.0,45.0,53.0,46.0,38.0,45.0
59,35.0,35.0,64.0,45.0,53.0,46.0,47.0
60,70.0,35.0,35.0,64.0,45.0,53.0,40.0
61,72.0,70.0,35.0,35.0,64.0,45.0,57.0
62,103.0,72.0,70.0,35.0,35.0,64.0,56.0
63,72.0,103.0,72.0,70.0,35.0,35.0,36.0
64,46.0,72.0,103.0,72.0,70.0,35.0,35.0
65,45.0,46.0,72.0,103.0,72.0,70.0,39.0
66,47.0,45.0,46.0,72.0,103.0,72.0,45.0
67,40.0,47.0,45.0,46.0,72.0,103.0,84.0
68,57.0,40.0,47.0,45.0,46.0,72.0,83.0
69,56.0,57.0,40.0,47.0,45.0,46.0,46.0
70,36.0,56.0,57.0,40.0,47.0,45.0,33.0
71,35.0,36.0,56.0,57.0,40.0,47.0,39.0
72,39.0,35.0,36.0,56.0,57.0,40.0,43.0
73,45.0,39.0,35.0,36.0,56.0,57.0,48.0
74,84.0,45.0,39.0,35.0,36.0,56.0,43.0
75,83.0,84.0,45.0,39.0,35.0,36.0,37.0
76,46.0,83.0,84.0,45.0,39.0,35.0,42.0
77,33.0,46.0,83.0,84.0,45.0,39.0,58.0
78,39.0,33.0,46.0,83.0,84.0,45.0,73.0
79,43.0,39.0,33.0,46.0,83.0,84.0,107.0
80,48.0,43.0,39.0,33.0,46.0,83.0,90.0
81,43.0,48.0,43.0,39.0,33.0,46.0,37.0
82,37.0,43.0,48.0,43.0,39.0,33.0,31.0
83,42.0,37.0,43.0,48.0,43.0,39.0,30.0
84,58.0,42.0,37.0,43.0,48.0,43.0,29.0
85,73.0,58.0,42.0,37.0,43.0,48.0,27.0
86,107.0,73.0,58.0,42.0,37.0,43.0,34.0
87,90.0,107.0,73.0,58.0,42.0,37.0,36.0
88,37.0,90.0,107.0,73.0,58.0,42.0,43.0
89,31.0,37.0,90.0,107.0,73.0,58.0,46.0
90,30.0,31.0,37.0,90.0,107.0,73.0,53.0
91,29.0,30.0,31.0,37.0,90.0,107.0,97.0
92,27.0,29.0,30.0,31.0,37.0,90.0,100.0
93,34.0,27.0,29.0,30.0,31.0,37.0,42.402
94,36.0,34.0,27.0,29.0,30.0,31.0,33.704
95,43.0,36.0,34.0,27.0,29.0,30.0,28.892
