,0,1,2,3,4,5,6
0,184.0,173.0,162.0,258.50847999999996,233.49152000000004,195.4375,316.36843
1,235.0,184.0,173.0,162.0,258.50847999999996,233.49152000000004,300.63157
2,236.0,235.0,184.0,173.0,162.0,258.50847999999996,258.0
3,185.22917,236.0,235.0,184.0,173.0,162.0,146.0
4,182.77083,185.22917,236.0,235.0,184.0,173.0,162.0
5,232.0,182.77083,185.22917,236.0,235.0,184.0,168.0
6,201.0,232.0,182.77083,185.22917,236.0,235.0,191.28334
7,316.36843,201.0,232.0,182.77083,185.22917,236.0,192.71666
8,300.63157,316.36843,201.0,232.0,182.77083,185.22917,181.0
9,258.0,300.63157,316.36843,201.0,232.0,182.77083,167.0
10,146.0,258.0,300.63157,316.36843,201.0,232.0,227.91227999999998
11,162.0,146.0,258.0,300.63157,316.36843,201.0,249.08772000000002
12,168.0,162.0,146.0,258.0,300.63157,316.36843,268.0
13,191.28334,168.0,162.0,146.0,258.0,300.63157,264.0
14,192.71666,191.28334,168.0,162.0,146.0,258.0,197.0
15,181.0,192.71666,191.28334,168.0,162.0,146.0,193.0
16,167.0,181.0,192.71666,191.28334,168.0,162.0,172.0
17,227.91227999999998,167.0,181.0,192.71666,191.28334,168.0,181.0
18,249.08772000000002,227.91227999999998,167.0,181.0,192.71666,191.28334,205.0
19,268.0,249.08772000000002,227.91227999999998,167.0,181.0,192.71666,197.0
20,264.0,268.0,249.08772000000002,227.91227999999998,167.0,181.0,185.0
21,197.0,264.0,268.0,249.08772000000002,227.91227999999998,167.0,165.0
22,193.0,197.0,264.0,268.0,249.08772000000002,227.91227999999998,183.0
23,172.0,193.0,197.0,264.0,268.0,249.08772000000002,299.0
24,181.0,172.0,193.0,197.0,264.0,268.0,317.0
25,205.0,181.0,172.0,193.0,197.0,264.0,351.0
26,197.0,205.0,181.0,172.0,193.0,197.0,241.0
27,185.0,197.0,205.0,181.0,172.0,193.0,184.0
28,165.0,185.0,197.0,205.0,181.0,172.0,182.0
29,183.0,165.0,185.0,197.0,205.0,181.0,186.0
30,299.0,183.0,165.0,185.0,197.0,205.0,237.0
31,317.0,299.0,183.0,165.0,185.0,197.0,168.0
32,351.0,317.0,299.0,183.0,165.0,185.0,187.0
33,241.0,351.0,317.0,299.0,183.0,165.0,185.0
34,184.0,241.0,351.0,317.0,299.0,183.0,175.0
35,182.0,184.0,241.0,351.0,317.0,299.0,245.0
36,186.0,182.0,184.0,241.0,351.0,317.0,218.0
37,237.0,186.0,182.0,184.0,241.0,351.0,178.0
38,168.0,237.0,186.0,182.0,184.0,241.0,159.0
39,187.0,168.0,237.0,186.0,182.0,184.0,139.0
40,185.0,187.0,168.0,237.0,186.0,182.0,156.0
41,175.0,185.0,187.0,168.0,237.0,186.0,163.0
42,245.0,175.0,185.0,187.0,168.0,237.0,279.0
43,218.0,245.0,175.0,185.0,187.0,168.0,284.0
44,178.0,218.0,245.0,175.0,185.0,187.0,308.0
45,159.0,178.0,218.0,245.0,175.0,185.0,324.0
46,139.0,159.0,178.0,218.0,245.0,175.0,337.0
47,156.0,139.0,159.0,178.0,218.0,245.0,405.0
48,163.0,156.0,139.0,159.0,178.0,218.0,392.0
49,279.0,163.0,156.0,139.0,159.0,178.0,427.0
50,284.0,279.0,163.0,156.0,139.0,159.0,405.0
51,308.0,284.0,279.0,163.0,156.0,139.0,320.0
52,324.0,308.0,284.0,279.0,163.0,156.0,330.0
53,337.0,324.0,308.0,284.0,279.0,163.0,167.0
54,405.0,337.0,324.0,308.0,284.0,279.0,177.0
55,392.0,405.0,337.0,324.0,308.0,284.0,184.0
56,427.0,392.0,405.0,337.0,324.0,308.0,143.0
57,405.0,427.0,392.0,405.0,337.0,324.0,122.0
58,320.0,405.0,427.0,392.0,405.0,337.0,89.0
59,330.0,320.0,405.0,427.0,392.0,405.0,118.0
60,167.0,330.0,320.0,405.0,427.0,392.0,97.0
61,177.0,167.0,330.0,320.0,405.0,427.0,93.0
62,184.0,177.0,167.0,330.0,320.0,405.0,99.0
63,143.0,184.0,177.0,167.0,330.0,320.0,94.0
64,122.0,143.0,184.0,177.0,167.0,330.0,105.0
65,89.0,122.0,143.0,184.0,177.0,167.0,115.0
66,118.0,89.0,122.0,143.0,184.0,177.0,136.0
67,97.0,118.0,89.0,122.0,143.0,184.0,129.0
68,93.0,97.0,118.0,89.0,122.0,143.0,121.0
69,99.0,93.0,97.0,118.0,89.0,122.0,106.0
70,94.0,99.0,93.0,97.0,118.0,89.0,92.0
71,105.0,94.0,99.0,93.0,97.0,118.0,131.0
72,115.0,105.0,94.0,99.0,93.0,97.0,100.0
73,136.0,115.0,105.0,94.0,99.0,93.0,88.0
74,129.0,136.0,115.0,105.0,94.0,99.0,95.0
75,121.0,129.0,136.0,115.0,105.0,94.0,93.0
76,106.0,121.0,129.0,136.0,115.0,105.0,103.0
77,92.0,106.0,121.0,129.0,136.0,115.0,130.0
78,131.0,92.0,106.0,121.0,129.0,136.0,151.0
79,100.0,131.0,92.0,106.0,121.0,129.0,145.0
