,0,1,2,3,4,5,6
0,211.0,200.0,206.0,208.0,199.79662000000002,221.20337999999998,245.0
1,240.0,211.0,200.0,206.0,208.0,199.79662000000002,211.0
2,257.0,240.0,211.0,200.0,206.0,208.0,209.0
3,223.0,257.0,240.0,211.0,200.0,206.0,159.0
4,234.0,223.0,257.0,240.0,211.0,200.0,168.0
5,213.0,234.0,223.0,257.0,240.0,211.0,195.0
6,263.0,213.0,234.0,223.0,257.0,240.0,214.0
7,245.0,263.0,213.0,234.0,223.0,257.0,226.0
8,211.0,245.0,263.0,213.0,234.0,223.0,221.0
9,209.0,211.0,245.0,263.0,213.0,234.0,193.0
10,159.0,209.0,211.0,245.0,263.0,213.0,215.0
11,168.0,159.0,209.0,211.0,245.0,263.0,272.0
12,195.0,168.0,159.0,209.0,211.0,245.0,236.0
13,214.0,195.0,168.0,159.0,209.0,211.0,214.0
14,226.0,214.0,195.0,168.0,159.0,209.0,225.0
15,221.0,226.0,214.0,195.0,168.0,159.0,218.0
16,193.0,221.0,226.0,214.0,195.0,168.0,195.0
17,215.0,193.0,221.0,226.0,214.0,195.0,215.0
18,272.0,215.0,193.0,221.0,226.0,214.0,251.0
19,236.0,272.0,215.0,193.0,221.0,226.0,258.0
20,214.0,236.0,272.0,215.0,193.0,221.0,207.0
21,225.0,214.0,236.0,272.0,215.0,193.0,230.0
22,218.0,225.0,214.0,236.0,272.0,215.0,223.0
23,195.0,218.0,225.0,214.0,236.0,272.0,230.0
24,215.0,195.0,218.0,225.0,214.0,236.0,230.0
25,251.0,215.0,195.0,218.0,225.0,214.0,208.0
26,258.0,251.0,215.0,195.0,218.0,225.0,230.0
27,207.0,258.0,251.0,215.0,195.0,218.0,223.0
28,230.0,207.0,258.0,251.0,215.0,195.0,230.0
29,223.0,230.0,207.0,258.0,251.0,215.0,223.0
30,230.0,223.0,230.0,207.0,258.0,251.0,230.0
31,230.0,230.0,223.0,230.0,207.0,258.0,231.0
32,208.0,230.0,230.0,223.0,230.0,207.0,224.0
33,230.0,208.0,230.0,230.0,223.0,230.0,231.0
34,223.0,230.0,208.0,230.0,230.0,223.0,224.0
35,230.0,223.0,230.0,208.0,230.0,230.0,232.0
36,223.0,230.0,223.0,230.0,208.0,230.0,231.0
37,230.0,223.0,230.0,223.0,230.0,208.0,210.0
38,231.0,230.0,223.0,230.0,223.0,230.0,232.0
39,224.0,231.0,230.0,223.0,230.0,223.0,224.0
40,231.0,224.0,231.0,230.0,223.0,230.0,231.0
41,224.0,231.0,224.0,231.0,230.0,223.0,225.0
42,232.0,224.0,231.0,224.0,231.0,230.0,231.0
43,231.0,232.0,224.0,231.0,224.0,231.0,233.0
44,210.0,231.0,232.0,224.0,231.0,224.0,224.0
45,232.0,210.0,231.0,232.0,224.0,231.0,232.0
46,224.0,232.0,210.0,231.0,232.0,224.0,224.0
47,231.0,224.0,232.0,210.0,231.0,232.0,232.0
48,225.0,231.0,224.0,232.0,210.0,231.0,232.0
49,231.0,225.0,231.0,224.0,232.0,210.0,210.0
50,233.0,231.0,225.0,231.0,224.0,232.0,231.0
51,224.0,233.0,231.0,225.0,231.0,224.0,224.0
52,232.0,224.0,233.0,231.0,225.0,231.0,232.0
53,224.0,232.0,224.0,233.0,231.0,225.0,225.0
54,232.0,224.0,232.0,224.0,233.0,231.0,232.0
55,232.0,232.0,224.0,232.0,224.0,233.0,231.0
56,210.0,232.0,232.0,224.0,232.0,224.0,224.0
57,231.0,210.0,232.0,232.0,224.0,232.0,221.0
58,224.0,231.0,210.0,232.0,232.0,224.0,212.0
59,232.0,224.0,231.0,210.0,232.0,232.0,221.0
60,225.0,232.0,224.0,231.0,210.0,232.0,198.0
61,232.0,225.0,232.0,224.0,231.0,210.0,182.0
62,231.0,232.0,225.0,232.0,224.0,231.0,188.0
63,224.0,231.0,232.0,225.0,232.0,224.0,190.0
64,221.0,224.0,231.0,232.0,225.0,232.0,178.0
65,212.0,221.0,224.0,231.0,232.0,225.0,179.0
66,221.0,212.0,221.0,224.0,231.0,232.0,197.0
67,198.0,221.0,212.0,221.0,224.0,231.0,198.0
68,182.0,198.0,221.0,212.0,221.0,224.0,157.0
69,188.0,182.0,198.0,221.0,212.0,221.0,193.0
70,190.0,188.0,182.0,198.0,221.0,212.0,209.0
71,178.0,190.0,188.0,182.0,198.0,221.0,261.0
72,179.0,178.0,190.0,188.0,182.0,198.0,241.0
73,197.0,179.0,178.0,190.0,188.0,182.0,200.0
74,198.0,197.0,179.0,178.0,190.0,188.0,220.0
75,157.0,198.0,197.0,179.0,178.0,190.0,206.0
76,193.0,157.0,198.0,197.0,179.0,178.0,178.0
77,209.0,193.0,157.0,198.0,197.0,179.0,184.0
78,261.0,209.0,193.0,157.0,198.0,197.0,206.0
79,241.0,261.0,209.0,193.0,157.0,198.0,217.0
80,200.0,241.0,261.0,209.0,193.0,157.0,163.0
81,220.0,200.0,241.0,261.0,209.0,193.0,198.0
82,206.0,220.0,200.0,241.0,261.0,209.0,202.0
83,178.0,206.0,220.0,200.0,241.0,261.0,228.0
84,184.0,178.0,206.0,220.0,200.0,241.0,212.0
85,206.0,184.0,178.0,206.0,220.0,200.0,201.0
86,217.0,206.0,184.0,178.0,206.0,220.0,209.0
87,163.0,217.0,206.0,184.0,178.0,206.0,192.0
88,198.0,163.0,217.0,206.0,184.0,178.0,138.0
89,202.0,198.0,163.0,217.0,206.0,184.0,132.0
90,228.0,202.0,198.0,163.0,217.0,206.0,151.0
91,212.0,228.0,202.0,198.0,163.0,217.0,161.0
92,201.0,212.0,228.0,202.0,198.0,163.0,126.0
93,209.0,201.0,212.0,228.0,202.0,198.0,126.199
94,192.0,209.0,201.0,212.0,228.0,202.0,127.117
95,138.0,192.0,209.0,201.0,212.0,228.0,176.54700000000003
