,0m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,0,1,2,3,4,5,6,7,8,9,10,11,12
0,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,402.0,268.0,836.0,953.0,1375.0,1160.0,462.0,-145.0,-348.0,-206.0,359.0,433.0,261.0
1,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,261.0,402.0,268.0,836.0,953.0,1375.0,1160.0,462.0,-145.0,-348.0,-206.0,359.0,-199.0
2,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,-199.0,261.0,402.0,268.0,836.0,953.0,1375.0,1160.0,462.0,-145.0,-348.0,-206.0,-362.0
3,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,-362.0,-199.0,261.0,402.0,268.0,836.0,953.0,1375.0,1160.0,462.0,-145.0,-348.0,-117.0
4,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,-117.0,-362.0,-199.0,261.0,402.0,268.0,836.0,953.0,1375.0,1160.0,462.0,-145.0,-342.0
5,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,-342.0,-117.0,-362.0,-199.0,261.0,402.0,268.0,836.0,953.0,1375.0,1160.0,462.0,518.0
6,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,518.0,-342.0,-117.0,-362.0,-199.0,261.0,402.0,268.0,836.0,953.0,1375.0,1160.0,1095.0
7,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,1095.0,518.0,-342.0,-117.0,-362.0,-199.0,261.0,402.0,268.0,836.0,953.0,1375.0,1305.0
8,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,1305.0,1095.0,518.0,-342.0,-117.0,-362.0,-199.0,261.0,402.0,268.0,836.0,953.0,1055.0
9,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,1055.0,1305.0,1095.0,518.0,-342.0,-117.0,-362.0,-199.0,261.0,402.0,268.0,836.0,690.0
10,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,690.0,1055.0,1305.0,1095.0,518.0,-342.0,-117.0,-362.0,-199.0,261.0,402.0,268.0,811.0
11,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,811.0,690.0,1055.0,1305.0,1095.0,518.0,-342.0,-117.0,-362.0,-199.0,261.0,402.0,984.0
12,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,984.0,811.0,690.0,1055.0,1305.0,1095.0,518.0,-342.0,-117.0,-362.0,-199.0,261.0,1040.0
13,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,1040.0,984.0,811.0,690.0,1055.0,1305.0,1095.0,518.0,-342.0,-117.0,-362.0,-199.0,861.0
14,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,861.0,1040.0,984.0,811.0,690.0,1055.0,1305.0,1095.0,518.0,-342.0,-117.0,-362.0,438.0
15,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,438.0,861.0,1040.0,984.0,811.0,690.0,1055.0,1305.0,1095.0,518.0,-342.0,-117.0,398.0
16,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,398.0,438.0,861.0,1040.0,984.0,811.0,690.0,1055.0,1305.0,1095.0,518.0,-342.0,-77.0
17,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,-77.0,398.0,438.0,861.0,1040.0,984.0,811.0,690.0,1055.0,1305.0,1095.0,518.0,1442.0
18,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,1442.0,-77.0,398.0,438.0,861.0,1040.0,984.0,811.0,690.0,1055.0,1305.0,1095.0,1396.0
19,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,1396.0,1442.0,-77.0,398.0,438.0,861.0,1040.0,984.0,811.0,690.0,1055.0,1305.0,1402.0
20,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,1402.0,1396.0,1442.0,-77.0,398.0,438.0,861.0,1040.0,984.0,811.0,690.0,1055.0,728.48
21,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,728.48,1402.0,1396.0,1442.0,-77.0,398.0,438.0,861.0,1040.0,984.0,811.0,690.0,557.962
22,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,557.962,728.48,1402.0,1396.0,1442.0,-77.0,398.0,438.0,861.0,1040.0,984.0,811.0,838.9079999999999
23,438.2518475,439.98018083333335,435.72178416666657,434.12928416666665,436.6469508333333,438.5102841666666,438.64665916666655,434.4294091666666,430.0846591666666,429.7566591666666,431.6889925,437.24540916666666,838.9079999999999,557.962,728.48,1402.0,1396.0,1442.0,-77.0,398.0,438.0,861.0,1040.0,984.0,550.156
